#RANK	ID	GENE_SYMBOL	ENTREZ_GENE_ID	MOI	P-VALUE	EXOMISER_GENE_COMBINED_SCORE	EXOMISER_GENE_PHENO_SCORE	EXOMISER_GENE_VARIANT_SCORE	HUMAN_PHENO_SCORE	MOUSE_PHENO_SCORE	FISH_PHENO_SCORE	WALKER_SCORE	PHIVE_ALL_SPECIES_SCORE	OMIM_SCORE	MATCHES_CANDIDATE_GENE	HUMAN_PHENO_EVIDENCE	MOUSE_PHENO_EVIDENCE	FISH_PHENO_EVIDENCE	HUMAN_PPI_EVIDENCE	MOUSE_PPI_EVIDENCE	FISH_PPI_EVIDENCE
72	TBC1D3B_AR	TBC1D3B	414059	AR	0.3039	0.0705	0.5001	0.6000	0.0000	0.0000	0.0000	0.5001	0.5001	1.0000	0				Proximity to KCNN3 associated with Zimmermann-Laband syndrome 3 (OMIM:618658): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Patent ductus arteriosus (HP:0001643), Genu valgum (HP:0002857)-Long hallux (HP:0001847), 		
73	NOTCH4_AD	NOTCH4	4855	AD	0.3114	0.0650	0.2890	0.8296	0.0000	0.2890	0.0000	0.0000	0.2890	1.0000	0		Patent ductus arteriosus (HP:0001643)-abnormal retina vasculature morphology (MP:0002792), Aortic root aneurysm (HP:0002616)-abnormal retina vasculature morphology (MP:0002792), 				
74	USO1_AD	USO1	8615	AD	0.3177	0.0606	0.5426	0.5343	0.0000	0.0000	0.0000	0.5426	0.5426	1.0000	0				Proximity to TRIP11 associated with Odontochondrodysplasia (ORPHA:166272): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Patent ductus arteriosus (HP:0001643), Genu valgum (HP:0002857)-Bowing of the long bones (HP:0006487), 	Proximity to TRIP11 Patent ductus arteriosus (HP:0001643)-muscular ventricular septal defect (MP:0010420), Aortic root aneurysm (HP:0002616)-overriding aortic valve (MP:0000273), 	
75	PLXNA1_AR	PLXNA1	5361	AR	0.3238	0.0566	0.5170	0.5554	0.3753	0.3457	0.3552	0.5170	0.5170	1.0000	0	Dworschak-Punetha neurodevelopmental syndrome (OMIM:619955): Patent ductus arteriosus (HP:0001643)-Dilation of Virchow-Robin spaces (HP:0012520), Aortic root aneurysm (HP:0002616)-Dilation of Virchow-Robin spaces (HP:0012520), Genu valgum (HP:0002857)-Depressed nasal bridge (HP:0005280), 	Patent ductus arteriosus (HP:0001643)-abnormal lymphatic vessel morphology (MP:0001879), Aortic root aneurysm (HP:0002616)-abnormal lymphatic vessel morphology (MP:0001879), 	Patent ductus arteriosus (HP:0001643)-angiogenic sprout intersegmental vessel morphology, abnormal (ZP:0103280), Aortic root aneurysm (HP:0002616)-angiogenic sprout intersegmental vessel morphology, abnormal (ZP:0103280), Genu valgum (HP:0002857)-epithelial cell regenerating fin apoptotic, abnormal (ZP:0102468), 	Proximity to SEMA3E associated with CHARGE syndrome (ORPHA:138): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Aortic arch aneurysm (HP:0005113), Genu valgum (HP:0002857)-Abnormal tibia morphology (HP:0002992), 	Proximity to SEMA3E Patent ductus arteriosus (HP:0001643)-abnormal intersomitic vessel morphology (MP:0012253), Aortic root aneurysm (HP:0002616)-abnormal intersomitic vessel morphology (MP:0012253), 	Proximity to SEMA3E Patent ductus arteriosus (HP:0001643)-axial vasculature has fewer parts of type intersegmental vessel, abnormal (ZP:0004430), Aortic root aneurysm (HP:0002616)-axial vasculature has fewer parts of type intersegmental vessel, abnormal (ZP:0004430), 
76	CELSR1_AD	CELSR1	9620	AD	0.3432	0.0455	0.5001	0.5495	0.3965	0.4323	0.0000	0.5001	0.5001	1.0000	0	Lymphatic malformation 9 (OMIM:619319): Patent ductus arteriosus (HP:0001643)-Tortuous lymphatic vessels (HP:0033986), Aortic root aneurysm (HP:0002616)-Tortuous lymphatic vessels (HP:0033986), 	Patent ductus arteriosus (HP:0001643)-cranioschisis (MP:0000919), Genu valgum (HP:0002857)-kinked tail (MP:0000585), 		Proximity to SFRP4 associated with Pyle disease (OMIM:265900): Genu valgum (HP:0002857)-Genu valgum (HP:0002857), 	Proximity to SFRP4 Genu valgum (HP:0002857)-decreased femur compact bone thickness (MP:0013624), 	
77	NHP2_AD	NHP2	55651	AD	0.3467	0.0437	0.2516	0.8260	0.3505	0.0000	0.0000	0.5032	0.5032	0.5000	0	Dyskeratosis congenita (ORPHA:1775): Patent ductus arteriosus (HP:0001643)-Telangiectasia of the skin (HP:0100585), Aortic root aneurysm (HP:0002616)-Telangiectasia of the skin (HP:0100585), Genu valgum (HP:0002857)-Coarse metaphyseal trabecularization (HP:0100670), 			Proximity to DOHH associated with Neurodevelopmental disorder with microcephaly, cerebral atrophy, and visual impairment (OMIM:620066): Patent ductus arteriosus (HP:0001643)-Coarctation of aorta (HP:0001680), Aortic root aneurysm (HP:0002616)-Coarctation of aorta (HP:0001680), Genu valgum (HP:0002857)-Bicuspid aortic valve (HP:0001647), 		
78	DPP4_AR	DPP4	1803	AR	0.3477	0.0432	0.5015	0.5420	0.0000	0.3605	0.0000	0.5015	0.5015	1.0000	0		Patent ductus arteriosus (HP:0001643)-increased vascular permeability (MP:0003070), Aortic root aneurysm (HP:0002616)-increased vascular permeability (MP:0003070), 		Proximity to GPC3 associated with Simpson-Golabi-Behmel syndrome, type 1 (OMIM:312870): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Transposition of the great arteries (HP:0001669), Genu valgum (HP:0002857)-Flared iliac wing (HP:0002869), 	Proximity to GPC3 Patent ductus arteriosus (HP:0001643)-patent ductus arteriosus (MP:0003139), Aortic root aneurysm (HP:0002616)-coronary fistula (MP:0010476), Genu valgum (HP:0002857)-split xiphoid process (MP:0004678), 	
79	ATAD3B_AD	ATAD3B	83858	AD	0.3503	0.0420	0.5000	0.5404	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to PSMD12 associated with Stankiewicz-Isidor syndrome (OMIM:617516): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Truncus arteriosus (HP:0001660), Genu valgum (HP:0002857)-2-3 toe syndactyly (HP:0004691), 		Proximity to PSMD12 Genu valgum (HP:0002857)-ceratobranchial cartilage decreased amount, abnormal (ZP:0001318), 
80	HSD3B2_AD	HSD3B2	3284	AD	0.3546	0.0400	0.2516	0.8161	0.2710	0.0000	0.0000	0.5031	0.5031	0.5000	0	Congenital adrenal hyperplasia due to 3-beta-hydroxysteroid dehydrogenase deficiency (ORPHA:90791): Patent ductus arteriosus (HP:0001643)-Hypotension (HP:0002615), Aortic root aneurysm (HP:0002616)-Hypotension (HP:0002615), 			Proximity to CYP19A1 associated with Aromatase deficiency (ORPHA:91): Genu valgum (HP:0002857)-Genu valgum (HP:0002857), 	Proximity to CYP19A1 Patent ductus arteriosus (HP:0001643)-abnormal systemic arterial blood pressure (MP:0000230), Aortic root aneurysm (HP:0002616)-abnormal systemic arterial blood pressure (MP:0000230), Genu valgum (HP:0002857)-increased bone marrow cell number (MP:0000321), 	Proximity to CYP19A1 Patent ductus arteriosus (HP:0001643)-pericardium edematous, abnormal (ZP:0000038), Aortic root aneurysm (HP:0002616)-pericardium edematous, abnormal (ZP:0000038), 
81	RAD50_AD	RAD50	10111	AD	0.3653	0.0354	0.5071	0.5132	0.0000	0.2629	0.0000	0.5071	0.5071	1.0000	0		Genu valgum (HP:0002857)-increased foot pad pigmentation (MP:0000575), 		Proximity to SMC5 associated with Atelis syndrome 2 (OMIM:620185): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Patent ductus arteriosus (HP:0001643), Genu valgum (HP:0002857)-Pes planus (HP:0001763), 	Proximity to SMC5 Genu valgum (HP:0002857)-increased eosinophil cell number (MP:0005011), 	
82	HLA-B_AR	HLA-B	3106	AR	0.3673	0.0346	0.2515	0.8000	0.7234	0.2971	0.0000	0.5029	0.7234	0.5000	0	Takayasu arteritis (ORPHA:3287): Patent ductus arteriosus (HP:0001643)-Ascending tubular aorta aneurysm (HP:0004970), Aortic root aneurysm (HP:0002616)-Ascending tubular aorta aneurysm (HP:0004970), Genu valgum (HP:0002857)-Arthritis (HP:0001369), 	Patent ductus arteriosus (HP:0001643)-increased heart weight (MP:0002833), Aortic root aneurysm (HP:0002616)-increased heart weight (MP:0002833), 		Proximity to SEC24C associated with 22q11.2 deletion syndrome (ORPHA:567): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Abnormal aortic arch morphology (HP:0012303), Genu valgum (HP:0002857)-Patellar dislocation (HP:0002999), 		
83	SPATA7_AD	SPATA7	55812	AD	0.3692	0.0339	0.2500	0.7992	0.2446	0.0000	0.0000	0.5000	0.5000	0.5000	0	Retinitis pigmentosa (ORPHA:791): Patent ductus arteriosus (HP:0001643)-Abnormal retinal vascular morphology (HP:0008046), Aortic root aneurysm (HP:0002616)-Abnormal retinal vascular morphology (HP:0008046), 			Proximity to APOB associated with Homozygous familial hypercholesterolemia (ORPHA:391665): Patent ductus arteriosus (HP:0001643)-Coronary artery aneurysm (HP:0030882), Aortic root aneurysm (HP:0002616)-Aortic atherosclerotic lesion (HP:0012397), 	Proximity to APOB Patent ductus arteriosus (HP:0001643)-hemorrhage (MP:0001914), Aortic root aneurysm (HP:0002616)-hemorrhage (MP:0001914), 	Proximity to APOB Patent ductus arteriosus (HP:0001643)-subintestinal vein morphology, abnormal (ZP:0005758), Aortic root aneurysm (HP:0002616)-subintestinal vein morphology, abnormal (ZP:0005758), 
84	KARS1_AD	KARS1	3735	AD	0.3716	0.0330	0.2542	0.7913	0.3584	0.0000	0.2197	0.5084	0.5084	0.5000	0	?Charcot-Marie-Tooth disease, recessive intermediate, B (OMIM:613641): Genu valgum (HP:0002857)-Pes cavus (HP:0001761), 		Patent ductus arteriosus (HP:0001643)-pericardium edematous, abnormal (ZP:0000038), Aortic root aneurysm (HP:0002616)-pericardium edematous, abnormal (ZP:0000038), 	Proximity to CARS1 associated with Microcephaly, developmental delay, and brittle hair syndrome (OMIM:618891): Patent ductus arteriosus (HP:0001643)-Aortic root aneurysm (HP:0002616), Aortic root aneurysm (HP:0002616)-Aortic root aneurysm (HP:0002616), Genu valgum (HP:0002857)-Pes cavus (HP:0001761), 		Proximity to CARS1 Patent ductus arteriosus (HP:0001643)-pericardium edematous, abnormal (ZP:0000038), Aortic root aneurysm (HP:0002616)-pericardium edematous, abnormal (ZP:0000038), 
85	TTN_AD	TTN	7273	AD	0.3746	0.0319	0.4199	0.6000	0.4202	0.4199	0.3607	0.0000	0.4202	1.0000	0	Autosomal recessive centronuclear myopathy (ORPHA:169186): Patent ductus arteriosus (HP:0001643)-Abnormal heart valve morphology (HP:0001654), Aortic root aneurysm (HP:0002616)-Abnormal heart valve morphology (HP:0001654), Genu valgum (HP:0002857)-Pes cavus (HP:0001761), 	Patent ductus arteriosus (HP:0001643)-abnormal dorsal aorta morphology (MP:0004787), Aortic root aneurysm (HP:0002616)-abnormal blood vessel morphology (MP:0001614), 	Patent ductus arteriosus (HP:0001643)-atrium morphology, abnormal (ZP:0011757), Aortic root aneurysm (HP:0002616)-pericardium edematous, abnormal (ZP:0000038), 			
86	BMP8A_AR	BMP8A	353500	AR	0.3772	0.0309	0.5021	0.5035	0.0000	0.0000	0.0000	0.5021	0.5021	1.0000	0				Proximity to BMPR1A associated with Juvenile polyposis of infancy (ORPHA:79076): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Patent ductus arteriosus (HP:0001643), Genu valgum (HP:0002857)-Broad phalanx of the toes (HP:0010174), 		Proximity to BMPR1A Patent ductus arteriosus (HP:0001643)-heart tube morphology, abnormal (ZP:0000454), Aortic root aneurysm (HP:0002616)-heart tube morphology, abnormal (ZP:0000454), 
87	WARS1_AD	WARS1	7453	AD	0.3811	0.0296	0.5076	0.4923	0.3564	0.3347	0.0000	0.5076	0.5076	1.0000	0	Neuronopathy, distal hereditary motor, autosomal dominant 9 (OMIM:617721): Genu valgum (HP:0002857)-Pes cavus (HP:0001761), 	Patent ductus arteriosus (HP:0001643)-dilated heart left ventricle (MP:0002753), Aortic root aneurysm (HP:0002616)-decreased heart rate (MP:0005333), 		Proximity to CARS1 associated with Microcephaly, developmental delay, and brittle hair syndrome (OMIM:618891): Patent ductus arteriosus (HP:0001643)-Aortic root aneurysm (HP:0002616), Aortic root aneurysm (HP:0002616)-Aortic root aneurysm (HP:0002616), Genu valgum (HP:0002857)-Pes cavus (HP:0001761), 		Proximity to CARS1 Patent ductus arteriosus (HP:0001643)-pericardium edematous, abnormal (ZP:0000038), Aortic root aneurysm (HP:0002616)-pericardium edematous, abnormal (ZP:0000038), 
88	ADGRV1_AR	ADGRV1	84059	AR	0.3939	0.0257	0.5000	0.4850	0.4622	0.4187	0.0000	0.5000	0.5000	1.0000	0	Generalized epilepsy with febrile seizures-plus (ORPHA:36387): Genu valgum (HP:0002857)-Tibial torsion (HP:0100694), 	Genu valgum (HP:0002857)-short tibia (MP:0002764), 		Proximity to HS2ST1 associated with Neurofacioskeletal syndrome with or without renal agenesis (OMIM:619194): Patent ductus arteriosus (HP:0001643)-Capillary hemangioma (HP:0005306), Aortic root aneurysm (HP:0002616)-Capillary hemangioma (HP:0005306), Genu valgum (HP:0002857)-Genu valgum (HP:0002857), 	Proximity to HS2ST1 Genu valgum (HP:0002857)-cervical vertebral fusion (MP:0004620), 	
89	ZC3H11B_AD	ZC3H11B	643136	AD	0.3976	0.0246	0.3943	0.6000	0.0000	0.3943	0.0000	0.0000	0.3943	1.0000	0		Patent ductus arteriosus (HP:0001643)-abnormal heart shape (MP:0000277), Aortic root aneurysm (HP:0002616)-hemorrhage (MP:0001914), Genu valgum (HP:0002857)-syndactyly (MP:0000564), 				
89	ZC3H11B_AR	ZC3H11B	643136	AR	0.3976	0.0246	0.3943	0.6000	0.0000	0.3943	0.0000	0.0000	0.3943	1.0000	0		Patent ductus arteriosus (HP:0001643)-abnormal heart shape (MP:0000277), Aortic root aneurysm (HP:0002616)-hemorrhage (MP:0001914), Genu valgum (HP:0002857)-syndactyly (MP:0000564), 				
91	RECQL_AD	RECQL	5965	AD	0.4014	0.0236	0.2540	0.7540	0.2928	0.0000	0.0000	0.5081	0.5081	0.5000	0	RECON progeroid syndrome (OMIM:620370): Patent ductus arteriosus (HP:0001643)-Livedo reticularis (HP:0033505), Aortic root aneurysm (HP:0002616)-Livedo reticularis (HP:0033505), Genu valgum (HP:0002857)-Long thumb (HP:0032524), 			Proximity to RNASEH2A associated with Aicardi-Goutières syndrome (ORPHA:51): Patent ductus arteriosus (HP:0001643)-Aortic aneurysm (HP:0004942), Aortic root aneurysm (HP:0002616)-Aortic aneurysm (HP:0004942), Genu valgum (HP:0002857)-Arthritis (HP:0001369), 		
92	CSMD1_AD	CSMD1	64478	AD	0.4032	0.0231	0.5000	0.4732	0.0000	0.2829	0.0000	0.5000	0.5000	1.0000	0		Genu valgum (HP:0002857)-abnormal thoracic cage shape (MP:0010099), 		Proximity to SMAD6 associated with Aortic valve disease 2 (OMIM:614823): Patent ductus arteriosus (HP:0001643)-Coarctation of aorta (HP:0001680), Aortic root aneurysm (HP:0002616)-Aortic aneurysm (HP:0004942), Genu valgum (HP:0002857)-Bicuspid aortic valve (HP:0001647), 	Proximity to SMAD6 Patent ductus arteriosus (HP:0001643)-muscular ventricular septal defect (MP:0010420), Aortic root aneurysm (HP:0002616)-overriding aortic valve (MP:0000273), 	
93	KRT81_AD	KRT81	3887	AD	0.4081	0.0218	0.5000	0.4670	0.2328	0.0000	0.0000	0.5000	0.5000	1.0000	0	Monilethrix (OMIM:158000): Genu valgum (HP:0002857)-Nail dystrophy (HP:0008404), 			Proximity to SMAD6 associated with Aortic valve disease 2 (OMIM:614823): Patent ductus arteriosus (HP:0001643)-Coarctation of aorta (HP:0001680), Aortic root aneurysm (HP:0002616)-Aortic aneurysm (HP:0004942), Genu valgum (HP:0002857)-Bicuspid aortic valve (HP:0001647), 	Proximity to SMAD6 Patent ductus arteriosus (HP:0001643)-muscular ventricular septal defect (MP:0010420), Aortic root aneurysm (HP:0002616)-overriding aortic valve (MP:0000273), 	
94	GLE1_AD	GLE1	2733	AD	0.4175	0.0196	0.5002	0.4550	0.3845	0.2971	0.3079	0.5002	0.5002	1.0000	0	Lethal congenital contracture syndrome type 1 (ORPHA:1486): Genu valgum (HP:0002857)-Slender long bone (HP:0003100), 	Patent ductus arteriosus (HP:0001643)-increased heart weight (MP:0002833), Aortic root aneurysm (HP:0002616)-increased heart weight (MP:0002833), 	Patent ductus arteriosus (HP:0001643)-heart edematous, abnormal (ZP:0001192), Aortic root aneurysm (HP:0002616)-pericardium edematous, abnormal (ZP:0000038), Genu valgum (HP:0002857)-pectoral fin decreased size, abnormal (ZP:0001051), 	Proximity to SPTBN1 associated with Developmental delay, impaired speech, and behavioral abnormalities (OMIM:619475): Patent ductus arteriosus (HP:0001643)-Aortic aneurysm (HP:0004942), Aortic root aneurysm (HP:0002616)-Aortic aneurysm (HP:0004942), Genu valgum (HP:0002857)-Genu valgum (HP:0002857), 	Proximity to SPTBN1 Patent ductus arteriosus (HP:0001643)-ventricular septal defect (MP:0010402), Aortic root aneurysm (HP:0002616)-hemorrhage (MP:0001914), 	
95	RGS11_AR	RGS11	8786	AR	0.4232	0.0184	0.5006	0.4473	0.0000	0.0000	0.0000	0.5006	0.5006	1.0000	0				Proximity to GNA11 associated with Cutis marmorata telangiectatica congenita (ORPHA:1556): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Arterial stenosis (HP:0100545), Genu valgum (HP:0002857)-Toe syndactyly (HP:0001770), 	Proximity to GNA11 Genu valgum (HP:0002857)-vertebral fusion (MP:0004609), 	
96	SEMA6C_AD	SEMA6C	10500	AD	0.4280	0.0174	0.3235	0.6418	0.0000	0.3235	0.0000	0.0000	0.3235	1.0000	0		Patent ductus arteriosus (HP:0001643)-enlarged heart (MP:0000274), Aortic root aneurysm (HP:0002616)-enlarged heart (MP:0000274), 				
97	PTH1R_AD	PTH1R	5745	AD	0.4287	0.0173	0.5150	0.4240	0.5877	0.4598	0.4400	0.5056	0.5877	1.0000	0	Chondrodysplasia, Blomstrand type (OMIM:215045): Patent ductus arteriosus (HP:0001643)-Preductal coarctation of the aorta (HP:0005151), Aortic root aneurysm (HP:0002616)-Preductal coarctation of the aorta (HP:0005151), Genu valgum (HP:0002857)-Flared metaphysis (HP:0003015), 	Patent ductus arteriosus (HP:0001643)-abnormal vertebral artery topology (MP:0014001), Aortic root aneurysm (HP:0002616)-abnormal inferior vena cava valve morphology (MP:0010490), 	Patent ductus arteriosus (HP:0001643)-dorsal aorta closed, abnormal (ZP:0000529), Aortic root aneurysm (HP:0002616)-dorsal aorta closed, abnormal (ZP:0000529), 	Proximity to NKX3-2 associated with Spondylo-megaepiphyseal-metaphyseal dysplasia (OMIM:613330): Genu valgum (HP:0002857)-Genu valgum (HP:0002857), 	Proximity to NKX3-2 Genu valgum (HP:0002857)-vertebral compression (MP:0004626), 	Proximity to NKX3-2 Genu valgum (HP:0002857)-Meckel's cartilage malformed, abnormal (ZP:0000126), 
97	USP40_AD	USP40	55230	AD	0.4287	0.0173	0.5001	0.4408	0.0000	0.0000	0.2870	0.5001	0.5001	1.0000	0			Patent ductus arteriosus (HP:0001643)-pericardium edematous, abnormal (ZP:0000038), Aortic root aneurysm (HP:0002616)-pericardium edematous, abnormal (ZP:0000038), Genu valgum (HP:0002857)-post-vent region curved dorsal, abnormal (ZP:0001255), 	Proximity to PHEX associated with Hypophosphatemic rickets, X-linked dominant (OMIM:307800): Patent ductus arteriosus (HP:0001643)-Hepatosplenomegaly (HP:0001433), Aortic root aneurysm (HP:0002616)-Hepatosplenomegaly (HP:0001433), Genu valgum (HP:0002857)-Genu valgum (HP:0002857), 	Proximity to PHEX Genu valgum (HP:0002857)-camptomelia (MP:0011505), 	
99	COL22A1_AR	COL22A1	169044	AR	0.4327	0.0165	0.5056	0.4295	0.0000	0.0000	0.0000	0.5056	0.5056	1.0000	0				Proximity to COL10A1 associated with Metaphyseal chondrodysplasia, Schmid type (OMIM:156500): Genu valgum (HP:0002857)-Genu valgum (HP:0002857), 	Proximity to COL10A1 Genu valgum (HP:0002857)-short femur (MP:0003109), 	
100	DCHS1_AD	DCHS1	8642	AD	0.4331	0.0164	0.5001	0.4353	0.3726	0.3373	0.2061	0.5001	0.5001	1.0000	0	Cerebrofacioarticular syndrome (ORPHA:314679): Patent ductus arteriosus (HP:0001643)-Pulmonic stenosis (HP:0001642), Aortic root aneurysm (HP:0002616)-Abnormal heart morphology (HP:0001627), Genu valgum (HP:0002857)-Caudal appendage (HP:0002825), 	Patent ductus arteriosus (HP:0001643)-thick mitral valve cusps (MP:0010617), Aortic root aneurysm (HP:0002616)-mitral valve prolapse (MP:0006120), 	Genu valgum (HP:0002857)-medial-lateral axis notochord increased width, abnormal (ZP:0019033), 	Proximity to LSM11 associated with Aicardi-Goutières syndrome (ORPHA:51): Patent ductus arteriosus (HP:0001643)-Aortic aneurysm (HP:0004942), Aortic root aneurysm (HP:0002616)-Aortic aneurysm (HP:0004942), Genu valgum (HP:0002857)-Arthritis (HP:0001369), 		
101	TUBGCP6_AD	TUBGCP6	85378	AD	0.4340	0.0163	0.2511	0.7159	0.3272	0.0000	0.0000	0.5022	0.5022	0.5000	0	Microcephaly and chorioretinopathy, autosomal recessive, 1 (OMIM:251270): Patent ductus arteriosus (HP:0001643)-Chorioretinal dysplasia (HP:0007731), Aortic root aneurysm (HP:0002616)-Chorioretinal dysplasia (HP:0007731), Genu valgum (HP:0002857)-Sloping forehead (HP:0000340), 			Proximity to PCNT associated with Microcephalic osteodysplastic primordial dwarfism type II (ORPHA:2637): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Vascular dilatation (HP:0002617), Genu valgum (HP:0002857)-Abnormal metaphysis morphology (HP:0000944), 	Proximity to PCNT Patent ductus arteriosus (HP:0001643)-ventricular septal defect (MP:0010402), Aortic root aneurysm (HP:0002616)-overriding aortic valve (MP:0000273), Genu valgum (HP:0002857)-syndactyly (MP:0000564), 	
102	CDK11B_AD	CDK11B	984	AD	0.4341	0.0162	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0						
102	CELA1_AR	CELA1	1990	AR	0.4341	0.0162	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0						
102	HLA-DQA1_AD	HLA-DQA1	3117	AD	0.4341	0.0162	0.0000	1.0000	0.2045	0.0000	0.0000	0.0000	0.2045	0.5000	0	Celiac disease, susceptibility to (OMIM:212750): Patent ductus arteriosus (HP:0001643)-Eczematoid dermatitis (HP:0000964), Aortic root aneurysm (HP:0002616)-Eczematoid dermatitis (HP:0000964), 					
102	NUTM2A_AR	NUTM2A	728118	AR	0.4341	0.0162	0.0000	1.0000	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0						
102	BAG6_AD	BAG6	7917	AD	0.4344	0.0162	0.0000	0.9996	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0						
102	TLR10_AD	TLR10	81793	AD	0.4345	0.0162	0.0000	0.9995	0.0000	0.0000	0.0000	0.0000	0.0000	1.0000	0						
108	DCAF5_AD	DCAF5	8816	AD	0.4427	0.0150	0.5029	0.4222	0.0000	0.4788	0.0000	0.5029	0.5029	1.0000	0		Patent ductus arteriosus (HP:0001643)-enlarged heart (MP:0000274), Aortic root aneurysm (HP:0002616)-enlarged heart (MP:0000274), Genu valgum (HP:0002857)-short tibia (MP:0002764), 		Proximity to ERCC8 associated with Cockayne syndrome type 3 (ORPHA:90324): Patent ductus arteriosus (HP:0001643)-Premature coronary artery atherosclerosis (HP:0005181), Aortic root aneurysm (HP:0002616)-Aortic root aneurysm (HP:0002616), Genu valgum (HP:0002857)-Macrotia (HP:0000400), 	Proximity to ERCC8 Genu valgum (HP:0002857)-cochlear inner hair cell degeneration (MP:0004398), 	
109	ARHGAP8_AD	ARHGAP8	23779	AD	0.4525	0.0138	0.5013	0.4143	0.0000	0.0000	0.0000	0.5013	0.5013	1.0000	0				Proximity to SOS2 associated with Noonan syndrome (ORPHA:648): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Coarctation of aorta (HP:0001680), Genu valgum (HP:0002857)-Radioulnar synostosis (HP:0002974), 		Proximity to SOS2 Patent ductus arteriosus (HP:0001643)-pericardium edematous, abnormal (ZP:0000038), Aortic root aneurysm (HP:0002616)-pericardium edematous, abnormal (ZP:0000038), 
110	PRAMEF13_AR	PRAMEF13	400736	AR	0.4584	0.0130	0.3319	0.6000	0.0000	0.3319	0.0000	0.0000	0.3319	1.0000	0		Patent ductus arteriosus (HP:0001643)-small heart (MP:0002188), Aortic root aneurysm (HP:0002616)-small heart (MP:0002188), 				
111	CYP7A1_AD	CYP7A1	1581	AD	0.4693	0.0118	0.5182	0.3782	0.0000	0.2890	0.0000	0.5182	0.5182	1.0000	0		Patent ductus arteriosus (HP:0001643)-abnormal retina vasculature morphology (MP:0002792), Aortic root aneurysm (HP:0002616)-abnormal retina vasculature morphology (MP:0002792), 		Proximity to ABCG8 associated with Homozygous familial hypercholesterolemia (ORPHA:391665): Patent ductus arteriosus (HP:0001643)-Coronary artery aneurysm (HP:0030882), Aortic root aneurysm (HP:0002616)-Aortic atherosclerotic lesion (HP:0012397), 	Proximity to ABCG8 Patent ductus arteriosus (HP:0001643)-abnormal heart left ventricle morphology (MP:0003921), Aortic root aneurysm (HP:0002616)-increased cardiac muscle contractility (MP:0005599), 	
112	POTEI_AR	POTEI	653269	AR	0.4801	0.0107	0.5028	0.3850	0.0000	0.0000	0.0000	0.5028	0.5028	1.0000	0				Proximity to CFL2 associated with Typical nemaline myopathy (ORPHA:171436): Genu valgum (HP:0002857)-Genu valgum (HP:0002857), 		
113	ATP10B_AD	ATP10B	23120	AD	0.4850	0.0102	0.5000	0.3832	0.0000	0.0000	0.0000	0.5000	0.5000	1.0000	0				Proximity to SMARCA4 associated with Coffin-Siris syndrome 4 (OMIM:614609): Patent ductus arteriosus (HP:0001643)-Patent ductus arteriosus (HP:0001643), Aortic root aneurysm (HP:0002616)-Patent ductus arteriosus (HP:0001643), Genu valgum (HP:0002857)-Prominent interphalangeal joints (HP:0006237), 	Proximity to SMARCA4 Patent ductus arteriosus (HP:0001643)-patent ductus arteriosus (MP:0003139), Aortic root aneurysm (HP:0002616)-patent ductus arteriosus (MP:0003139), 	Proximity to SMARCA4 Patent ductus arteriosus (HP:0001643)-atrioventricular canal increased length, abnormal (ZP:0004995), Aortic root aneurysm (HP:0002616)-pericardium edematous, abnormal (ZP:0000038), Genu valgum (HP:0002857)-post-vent region curved dorsal, abnormal (ZP:0001255), 
